296;Сверло по мет. 4,8мм/10*;80;
297;Сверло по мет. 5,0мм/10*;85;
298;Сверло по мет. 5,5мм/10*;85;
299;Сверло по мет. 6,0мм/10*;100;
300;Сверло по мет. 6,5мм/10*;103;
301;Сверло по мет. 7,0мм/10*;120;
302;Сверло по мет. 7,5мм/10*;125;
303;Сверло по мет. 8,5мм/5*;90;
304;Сверло по мет. 9,0мм/5*;114;
305;Сверло по мет. 9,5мм/5*;118;
306;Сверло по металлу Ермак 1,5мм/10*;35;
307;"Сверло по металлу ""Ермак"" 10мм/5*";145;
308;Сверло по металлу Ермак 2,0мм/10*;40;
309;Сверло по металлу Ермак 2,5мм /10*;40;
310;"Сверло по металлу ""Ермак"" 3мм";50;
311;"Сверло по металлу ""Ермак"" 3,2мм /10*";50;
312;"Сверло по металлу ""Ермак"" 3,5мм/10*";55;
313;"Сверло по металлу ""Ермак"" 4,0мм /10*";60;
314;Сверло по металлу Ермак 4,2мм/10*;75;
315;"Сверло по металлу ""Ермак"" 5,0мм/10*";80;
316;"Сверло по металлу ""Ермак"" 6,0мм /10*";110;
317;"Сверло по металлу ""Ермак"" 6,5мм /10*";100;
318;"Сверло по металлу ""Ермак"" 7,0мм /10*";135;
319;"Сверло по металлу ""Ермак"" 7,5мм /10*";125;
320;Сверло по металлу Ермак  8мм/;60;
321;"Сверло по металлу ""Ермак"" 8,5мм /5*";82,5;
322;"Сверло по металлу ""Ермак"" 9мм/5*";107,5;
323;"Сверло по металлу ""Ермак"" 9,5мм /5*";80;
324;Инструмент;;
325;Вставка плавкая 10А/200*;2;
326;Гвозди декоративные усилен. медь;23,5;
327;Гвозди декоративные усилен.(бронза);23,5;
328;Гвозди декоративные усилен.(Золото);23,5;
329;Гвозди декоративные усилен.(Хром);23,5;
330;Гвоздодер 450*22*12;189;
331;Гвоздодер 600*16;142;
332;Гвоздодер 600*29*15;217;
333;Гвоздодер 750*30*16;526;
334;Гвоздодер 900*30*15мм;330;
335;Гвоздодер с синекрасной ручкой 43см;74;
336;Гвоздодер с синекрасной ручкой мал.;56;
337;Гвоздь строит. 2,0*40/25*;52;
338;Гвоздь строит. 2,5*50;40;
339;Гвоздь строит. 2,5*60;45;
340;Гвоздь строит. 3,0*70;39,5;
341;Гвоздь строит. 3,0*80;39,5;
342;Гвоздь строит. 3,5*90;37,5;
343;Гвоздь строит. 4,0*100;37,5;
344;Гвоздь строит. 4,0*120;37,5;
345;Гвоздь строит. 5,0*150;37,5;
346;Гвоздь строит. 6,0*200;37,5;
347;Гвоздь толевой 2,5*32;45;
348;Гвоздь шиферный 4,0*120;56;
349;Ермак Щетка с пластиковой ручкой 4 ряда;29;
350;Ермак Щетка с пластиковой ручкой 5 ряд.;27;
351;Ермак Щетка с пластиковой ручкой 6 ряд.;33,5;
352;Заклепочник 238 мм;137;
353;Заклепочник 250мм;150;
354;Заклепочник поворотный 360 градусов;241;
355;Заклепочник Ермак 425мм усилен. двуручный;251;
356;Зубило 210*60мм с протектором;90;
357;Зубило 250*20мм с протектором;62;
358;Зубило Ермак 14*400*20мм;72;
359;Изолента  х/б;14;
360;Изолента  х/б 100г.;17,5;
361;Изолента  х/б 200гр./60;41;
362;Изолента х/б 300гр/60* Барнаул;48;
363;Изолента  х/б 80г.(в упаковке);14,5;
364;Изолента  19мм 18м синяя;21;
365;Изолента 19мм 18м черная;21;
366;Изолента 19мм 9м синяя;9,5;
367;Изолента 5 цветов /10*;7;
368;Изолента TESA 20м синяя;26,5;
369;Изолента TESA 20м черная;26,5;
370;Изолента глобе зеленая;6;
371;Изолента глобе синяя;7;
372;Изолента глобе черная;7;
373;Изолента желтая /192*;5;
374;Изолента зеленая /192*;5;
375;Изолента красная/192*;5;
376;Изолента синяя /192*;5;
377;Изолента черная/192*;5;
378;Киянка 225мм белая 662012;70,5;
379;Киянка 450мм белая 662014;133;
380;Киянка рез. 225;57;
381;Киянка резин. 680г белая 662013;135;
382;Киянка резиновая 450мм;77,5;
383;Ключ балонный;195;
384;Ключ д/патрона 13мм;12,5;
385;"Ключ разводной 10"" с обрез. ручкой";162;
386;"Ключ разводной 12"" с обрез. ручкой";223;
387;"Ключ разводной 8"" с резин. ручкой";86,5;
388;Ключ разводной Ермак 150мм;82;
389;Ключ разводной Ермак 200мм;118;
390;Ключ разводной Ермак 250мм;161;
391;Ключ трубный 2 Сибртех;255;
392;Ключ-трубный 1 Сибртех;218;
393;Ключ-трубный 2 Сибртех литой;305;
394;Ключ-трубный №1 Сибртех литой;219;
395;Ключ-трубный КТР 0 Сибртех;181;
396;Ключ-трубный КТР 0 Сосновск;185;
397;Ключ-трубный КТР-1 Сосновск;219;
398;Ключ-трубный КТР-3;448;
399;"Колун ""MATRIX"" 2700гр. с фиберглассовой ручкой";830;
400;Колун 3000гр дерев. ручка;245;
401;Колун 3600г фибергл. ручка;920;
402;Коронка 80мм;315;
403;Краги сварщика брезент.;50;
404;Крестики 2,0мм;16;
405;Крестики 3,0мм;16;
406;Кувалда 2000 гр. пласт. ручка;251;
407;Кувалда Ермак 1000г дерев. ручка;133;
408;Кувалда Ермак 1000гр. пластик. ручка;176;
409;Кувалда Ермак 1500г пластик. ручка;207;
410;Кувалда Ермак 2000г дер. ручка;210;
411;Кусачки 160мм 661872;60,6;
412;Кусачки 200мм 661270;94,5;
413;Кусачки Ермак 160мм 661253;88,5;
414;Кусачки Ермак 180 мм 661193;86;
415;Кусачки Ермак 180мм двухцветн.;88;
416;Кусачки Ермак шлиф 200мм;75;
417;Кусачки торц. 200мм 661200;98;
418;Лезвия д/ножа 18мм;12;
419;Лобзик 300мм Спарта;87;
420;Маска сварщика Евро пластик 110*90;222;
421;Маска сварщика пластик стекло 110*90;145;
422;Маска сварщика фиброкартон;106;
423;Метр складной;126;
424;Молоток 300гр дер. ручка;42,5;
425;Молоток 400гр дер. ручка;73;
426;Молоток 500гр. дер. ручка;76;
427;Молоток 600г;94;
428;Молоток  800гр.;120,5;
429;Молоток Ермак 1000гр пласт. ручка;216;
430;Молоток Ермак 200гр. пласт. ручка;78;
431;Молоток Ермак 300гр пласт. ручка;119;
432;Молоток-гвоздодер 450гр. 27мм;87;
433;Набор головок 22пр;127;
434;Набор головок 8пр;199;
435;Набор головок 9 предм. 2809;158;
436;Набор головок и насадок 24пр 2027;93;
437;Набор д/врезки замков (19-127мм) 17пр;312;
438;Набор д/врезки замков 12пр.;175;
439;Набор для врезки замков 3пр;53;
440;Набор инструм. 80пр.;3450;
441;Набор инструм. 94пр.;2220;
442;Набор инструм. 95пр.;3150;
443;Набор инструментов 30пр;940;
444;Набор инструментов 35пр.;730;
445;Набор инструментов 8пр 657254;287;
446;Набор ключей Ермак рожк-накид. 8пр.736079;146;
447;Набор ключей Ермак рожк-накидн. 6пр 736043;163;
448;Набор ключей Ермак рожк-накидн. 8пр 736049;233;
449;Набор ключей Ермак рожк.накид 6шт 736096;166;
450;Набор ключей Ермак рожк. накидн. 12пр. 736050;355;
